text,label,notes
"Russian forces launched missile strikes on Kyiv overnight",1,"direct military action"
"Ukraine reported shelling near the border after another drone attack",1,"war context"
"The Ministry of Defense said fighting continued in the eastern region",1,"military conflict"
"Several civilians were evacuated after artillery fire hit the town",1,"combat-related"
"New sanctions were announced in response to the escalation of the war",1,"political conflict"
"Troops advanced toward the city after a day of intense clashes",1,"military action"
"The president discussed the conflict and called for additional aid",1,"war politics"
"Air raid alerts were issued across multiple Ukrainian regions",1,"conflict context"
"Reports from the front described heavy fighting and casualties",1,"war reporting"
"The army confirmed a strike on a logistics base near the border",1,"military operation"
"International leaders met to discuss the ongoing war in Ukraine",1,"diplomatic war context"
"Russian missiles damaged infrastructure in the capital",1,"military strike"
"The battalion withdrew after losing control of the checkpoint",1,"combat-related"
"Negotiations stalled as both sides disagreed on the ceasefire terms",1,"war diplomacy"
"New weapons deliveries were sent to support the Ukrainian army",1,"military aid"
"Residents fled the area after explosions were heard at dawn",1,"conflict reporting"
"The war has caused a major humanitarian crisis in the region",1,"war context"
"The city was hit during another night of drone attacks",1,"military attack"
"Authorities warned that the border area remains unstable due to fighting",1,"conflict context"
"Both governments blamed each other for the latest escalation",1,"political conflict"
"A defense analyst commented on the battlefield situation near Kharkiv",1,"war analysis"
"The ceasefire collapsed after renewed shelling began",1,"combat escalation"
"Russia and Ukraine exchanged accusations during the security summit",1,"war politics"
"Military units were ordered to move closer to the contested zone",1,"military movement"
"The attack destroyed a warehouse used for supply storage",1,"strike aftermath"
"Shell fragments damaged nearby houses in the affected district",1,"war damage"
"Parliament approved a new package of wartime funding",1,"war-related policy"
"The report described multiple casualties after the rocket strike",1,"combat reporting"
"Fierce clashes broke out along the front line last night",1,"war context"
"The conflict has affected transport routes and electricity supply",1,"war impact"
"Ukraine is known for its beautiful Carpathian mountains",0,"geography, neutral"
"Russia is the largest country by land area and spans Europe and Asia",0,"geography, neutral"
"The Ukrainian language belongs to the East Slavic group",0,"language, neutral"
"Russian is spoken by millions of people across several countries",0,"language, neutral"
"Kyiv is an important historical and cultural center",0,"history and culture"
"The Volga River is one of the longest rivers in Europe",0,"geography, neutral"
"Ukraine has a rich tradition of folk music and embroidery",0,"culture, neutral"
"Russia has a diverse climate ranging from tundra to temperate forests",0,"geography, neutral"
"The map shows the distance between Moscow and Saint Petersburg",0,"geography, neutral"
"Students studied the history of Eastern Europe in class",0,"history, neutral"
"The museum has an exhibition about medieval trade routes",0,"history, neutral"
"Many tourists visit the Black Sea coast in summer",0,"travel, neutral"
"The article compares Russian and Ukrainian grammar structures",0,"linguistics, neutral"
"She is learning Spanish, Ukrainian, and Albanian this year",0,"languages, neutral"
"The book discusses the cultural traditions of Slavic nations",0,"culture, neutral"
"Scientists published a paper about forests in northern Eurasia",0,"science/geography"
"The conference covered urban development in large European capitals",0,"urban studies"
"The recipe came from a family in western Ukraine",0,"personal/cultural, neutral"
"The train route connects several cities across the region",0,"transport, neutral"
"Old photographs show how the city changed over the century",0,"history, neutral"
"The festival featured music from different countries",0,"culture, neutral"
"The class studied economic reforms in the 1990s",0,"economics/history"
"The guide explained how to pronounce place names correctly",0,"language, neutral"
"The report listed population numbers for major cities",0,"demographics, neutral"
"His presentation was about architecture in post-Soviet countries",0,"architecture/history"
"The article described winter temperatures in the steppe region",0,"climate, neutral"
"She wrote an essay on folklore and national costumes",0,"culture, neutral"
"The textbook explains how borders changed over time in Europe",0,"history, neutral"
"Researchers compared dialects spoken in rural communities",0,"linguistics, neutral"
"The documentary explored the cuisine of different Slavic regions",0,"culture, neutral"
